concat_id
ABACAVIR SÓLIDO ORAL SOR-01 300 mg
ABACAVIR LÍQUIDO ORAL LOR-01 20 mg/ml
ABEMACICLIB SÓLIDO ORAL SOR-01 100 mg
ABEMACICLIB SÓLIDO ORAL SOR-01 150 mg
ABIRATERONA SÓLIDO ORAL SOR-01 250 mg
ACALABRUTINIB SÓLIDO ORAL SOR-01 100 mg
ACEMETACINA SÓLIDO ORAL SOR-01 60 mg
ACEMETACINA SÓLIDO ORAL SOR-01 90 mg
ACETATO DE MEGESTROL SÓLIDO ORAL SOR-01 160 mg
ACETAZOLAMIDA SÓLIDO ORAL SOR-01 250 mg
ACETILCISTEINA LÍQUIDO PARA INHALACIÓN LNA-02 100 mg/mL
ACETILCISTEINA SÓLIDO ORAL SOR-03 600 mg
ACETILCISTEINA LÍQUIDO PARENTERAL LPA-02 100 mg/mL
ACETILCISTEINA SÓLIDO ORAL SOR-06 100 mg
ACETILCISTEINA SÓLIDO ORAL SOR-06 200 mg
ACETILCISTEINA SÓLIDO ORAL SOR-06 600 mg
ACICLOVIR SÓLIDO ORAL SOR-01 200 mg
ACICLOVIR LÍQUIDO ORAL LOR-01 200 mg / 5 ml
ACICLOVIR SÓLIDO ORAL SOR-01 400 mg
ACICLOVIR SÓLIDO ORAL SOR-03 400 mg
ACICLOVIR SÓLIDO ORAL SOR-01 800 mg
ACICLOVIR SÓLIDO ORAL SOR-03 800 mg
ACICLOVIR SÓLIDO PARENTERAL SPA-04 250 mg
ACICLOVIR SEMISÓLIDO OFTÁLMICO SSF-01 3% (30 mg/g)
ÁCIDO ACETIL SALICILICO SÓLIDO ORAL SOR-03 100 mg
ÁCIDO ACETIL SALICILICO SÓLIDO ORAL SOR-01 100 mg
ÁCIDO ACETIL SALICILICO SÓLIDO ORAL SOR-01/SOR-03 500 mg
ÁCIDO ALENDRÓNICO (ALENDRONATO SÓDICO) SÓLIDO ORAL SOR-01 70 mg
ÁCIDO ALENDRÓNICO (ALENDRONATO SÓDICO) SÓLIDO ORAL CÁPSULA BLANDA 70 mg
ÁCIDO ASCÓRBICO (VITAMINA C) LÍQUIDO PARENTERAL LPA-02 100 mg/ml
ÁCIDO FÓLICO SÓLIDO ORAL SOR-01 1 mg
ÁCIDO FÓLICO SÓLIDO ORAL SOR-01 5 mg
ÁCIDO FUSIDICO SEMISÓLIDO CUTÁNEO SSC-01 2%
"ÁCIDO GADOTÉRICO LÍQUIDO PARENTERAL LPA-02 279,32 mg/ml (0,5 mmol/ml)"
"ÁCIDO GADOXÉTICO LÍQUIDO PARENTERAL LPA-02 181,430 mg/ml"
ÁCIDO IBANDRÓNICO SÓLIDO ORAL SOR-01 150 mg
ÁCIDO IBANDRÓNICO SÓLIDO ORAL CÁPSULA BLANDA 150 mg
ÁCIDO IBANDRÓNICO SÓLIDO ORAL SOR-01 50 mg
ÁCIDO IBANDRÓNICO LÍQUIDO PARENTERAL LPA-02 1 mg/ml
ÁCIDO TRANEXÁMICO LÍQUIDO PARENTERAL LPA-02 100 mg/mL
ÁCIDO TRANEXÁMICO SÓLIDO ORAL SOR-01 500 mg
